Gene ID,Gene Name,accessory axillary lymph node,adrenal gland,aorta,bone (os femoris),cecum,cerebellum,cerebral cortex,colon,corpora quadrigemina,corpus striatum,diencephalon,epididymis,eyeball,hippocampus,intestinal mucosa,intestine,lung,medulla oblongata,olfactory brain,ovary,pancreas,pituitary gland,prostate,skin,spinal cord,spleen,stomach,submandibular gland,testis,thymus,tongue,urinary bladder,uterus,vagina,vesicular gland
ENSMUSG00000021707,Dhfr,0.8,1,1,2,,,,1,,0.5,,2,1,,1,,0.7,0.5,,1,,0.7,,1,0.7,1,1,0.6,2,0.9,1,,,,
ENSMUSG00000021708,Rasgrf2,,,,,2,,4,,4,0.9,2,,,0.8,,,,1,2,,,,,,2,,,,,,,,,,0.5
ENSMUSG00000021709,Erbin,5,2,1,2,,,,8,1,0.5,1,1,3,0.8,17,3,4,1,1,2,3,2,2,1,2,2,,7,,2,3,3,2,2,2
ENSMUSG00000021710,Nln,5,5,12,2,4,7,9,5,7,8,7,7,3,8,1,3,5,7,4,9,5,2,5,5,8,3,4,4,8,2,6,5,6,5,7
ENSMUSG00000021711,Trappc13,78,50,56,27,52,56,64,48,76,64,68,52,65,66,61,52,48,66,59,48,48,65,49,58,60,33,46,54,24,53,53,54,51,50,40
ENSMUSG00000021712,Trim23,24,20,19,15,4,45,56,7,44,52,49,24,17,58,8,6,20,40,40,19,8,42,16,17,39,15,6,17,46,19,24,18,14,12,17
ENSMUSG00000021713,Ppwd1,3,1,3,4,2,1,0.7,0.5,,1,1,2,1,,1,2,0.7,0.8,1,2,1,2,0.7,2,0.7,8,1,1,15,5,2,1,2,,
ENSMUSG00000021714,Cenpk,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,9,1,,,,,
ENSMUSG00000021715,Cwc27,2,2,2,0.9,3,2,3,1,2,2,2,2,2,3,1,2,2,2,3,3,2,1,0.9,3,2,1,1,2,2,1,3,2,2,1,2
ENSMUSG00000021716,Srek1ip1,19,13,28,16,26,18,20,19,19,19,17,17,19,21,30,29,12,15,16,15,18,12,9,29,15,13,17,12,17,25,15,15,13,11,11
ENSMUSG00000021718,4933425L06Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
ENSMUSG00000021719,Rgs7bp,,,0.7,,2,11,19,,7,32,13,,0.8,21,,,,7,11,,,,,,8,,,,,,,1,,,
ENSMUSG00000021725,Parp8,3,2,0.7,0.9,,0.6,0.9,,2,0.5,1,2,0.9,2,,,0.7,2,0.6,2,,3,0.7,1,2,1,,0.9,,1,0.7,,0.7,2,2
ENSMUSG00000021728,Emb,16,3,5,7,,15,7,1,17,8,15,27,9,8,1,,19,20,3,8,,37,4,15,15,6,5,14,1,25,7,1,12,14,4
ENSMUSG00000021730,Hcn1,,,,,,23,24,,21,13,10,,26,25,0.5,,0.6,19,18,1,,0.9,,,16,,,,,,,6,,,
ENSMUSG00000021731,Mrps30,14,20,23,11,11,14,16,17,14,14,15,14,14,16,7,16,12,15,17,16,15,15,11,12,17,18,18,17,51,16,24,14,14,17,19
ENSMUSG00000021732,Fgf10,0.5,,,,,,,,,,,,,,,,2,,0.6,1,,1,1,0.7,,,,1,,,0.5,0.8,,,3
ENSMUSG00000021737,Psmd6,41,68,49,60,75,59,74,69,70,78,70,66,77,78,72,72,48,86,50,53,167,60,81,95,81,75,74,53,219,67,87,60,62,67,57
ENSMUSG00000021738,Atxn7,14,8,8,8,13,7,5,6,4,8,2,3,11,6,14,9,16,3,4,5,20,7,7,14,3,10,5,14,1,4,13,10,10,10,9
ENSMUSG00000021743,Fezf2,,,,,,,4,,,2,,,,5,,,,,,,,,,,,,,,,0.9,,,,,
ENSMUSG00000021745,Ptprg,0.5,4,4,,0.9,4,6,1,4,4,5,2,1,7,2,0.8,4,5,5,4,1,4,2,2,5,,,,,0.6,2,1,2,2,3
ENSMUSG00000021747,4930452B06Rik,,,,,,1,5,,4,4,4,7,,2,,,3,4,4,0.6,,6,,,4,,5,1,32,2,1,9,,3,0.5
ENSMUSG00000021748,Pdhb,8,22,120,11,24,13,18,16,17,18,23,9,37,20,21,19,8,26,18,14,20,12,11,11,32,8,17,26,69,12,24,10,9,15,8
ENSMUSG00000021749,Oit1,0.5,,,,52,,,7,,,,,,,31,8,,,,,,,38,,,,12,14,,,0.9,5,3,4,2
ENSMUSG00000021750,Fam107a,,,,,,0.9,,,,0.5,,,,0.6,,,,,,,,2,,,,,,,,,,,,,
ENSMUSG00000021752,Kctd6,0.5,,1,,,1,5,,1,2,3,,2,6,,,1,2,3,,1,0.7,0.9,1,1,0.5,1,1,2,1,1,0.6,1,,0.5
ENSMUSG00000021754,Map3k1,4,2,0.7,4,,,,2,0.7,2,0.6,1,2,,4,1,2,1,6,2,1,,,2,0.9,0.5,,2,1,3,0.7,0.8,0.5,1,1
ENSMUSG00000021756,Il6st,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,1,,0.6,0.5
ENSMUSG00000021758,Ddx4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
ENSMUSG00000021759,Plpp1,3,12,4,0.9,6,0.6,,16,0.6,,0.6,2,1,0.6,47,12,8,2,,2,,3,5,2,2,4,2,2,3,,7,6,2,11,24
ENSMUSG00000021760,Gpx8,3,30,45,7,5,4,3,4,3,2,2,58,6,6,0.7,2,27,4,5,26,2,6,8,10,4,2,10,5,1,3,11,27,46,25,25
ENSMUSG00000021764,Ndufs4,110,95,339,172,218,150,158,180,150,150,158,139,145,140,226,215,87,162,149,103,94,99,105,101,142,78,181,158,353,155,307,104,93,83,111
ENSMUSG00000021765,Fst,1,,2,3,0.9,,,0.9,,,,,0.9,,,1,0.6,,1,14,,,4,12,,,1,4,,,4,1,1,0.9,3
ENSMUSG00000021767,Kat6b,1,2,2,,,1,3,0.8,3,4,4,2,0.8,4,0.7,,2,1,8,4,3,3,,3,3,0.5,1,4,0.6,1,2,3,3,2,5
ENSMUSG00000021768,Dusp13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
ENSMUSG00000021770,Samd8,7,14,6,12,17,19,23,20,13,24,15,13,13,23,50,25,9,15,20,11,11,10,7,11,16,6,22,3,81,7,12,6,8,10,9
ENSMUSG00000021771,Vdac2,0.5,0.7,2,,6,,,6,,,0.6,1,0.6,,6,3,,0.8,,1,4,,,,0.6,1,5,0.6,6,2,0.5,1,1,1,1
ENSMUSG00000021772,Nkiras1,6,13,17,10,6,41,78,11,71,55,78,12,15,61,16,13,8,92,38,7,11,29,11,12,96,4,9,11,5,3,30,8,4,6,8
ENSMUSG00000021773,Comtd1,,,,,,0.6,,4,,0.5,,4,,,2,2,,,,,,,,,,,6,0.6,0.6,,,,,,
ENSMUSG00000021774,Ube2e1,,,,,,0.6,2,,1,1,1,,,0.6,,,,0.6,1,,,1,,,1,,,,0.6,0.6,0.5,,,,
ENSMUSG00000021775,Nr1d2,6,44,64,5,17,65,35,12,58,43,40,16,26,27,3,2,56,40,42,19,9,23,10,35,35,4,12,29,2,3,69,22,16,16,23
ENSMUSG00000021779,Thrb,,,1,,,,,,,0.5,,,2,,,1,,,,,,2,,0.5,,,1,,,,0.7,,,,
ENSMUSG00000021782,Dlg5,,3,2,0.9,6,2,2,2,5,3,4,6,4,3,3,3,3,3,4,4,0.7,5,2,3,4,,1,4,,,2,2,6,4,7
ENSMUSG00000021785,Ngly1,42,22,42,31,21,29,21,27,25,27,19,20,31,18,36,28,32,26,22,33,61,32,31,28,28,24,32,35,369,33,29,31,25,25,32
ENSMUSG00000021786,Oxsm,,,1,,3,1,1,2,,1,1,,0.8,0.6,2,3,0.6,1,1,0.9,1,0.7,,,1,,,0.6,20,1,0.5,0.6,,,
ENSMUSG00000021789,Sftpa1,,,,,,,,,,,,,,,,,4985,,,,,,,,,,,,,0.6,,,,,
ENSMUSG00000021790,Dydc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
ENSMUSG00000021792,Fam213a,,,,2,,1,,,,,0.7,,1,0.5,,,,0.6,,3,,,,0.7,0.6,1,,,,,,0.5,9,0.8,
ENSMUSG00000021794,Glud1,23,40,84,14,22,18,15,32,24,12,29,17,13,18,8,19,27,25,19,23,23,16,10,24,32,10,19,16,5,5,22,24,22,16,11
